,number_in_list,fold_enrichment,fdr,expected,number_in_reference,pValue,plus_minus,id,label,main_category
906,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0005315,inorganic phosphate transmembrane transporter activity,molecularFunction
905,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0070181,small ribosomal subunit rRNA binding,molecularFunction
904,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0016841,ammonia-lyase activity,molecularFunction
903,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,molecularFunction
902,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0050664,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",molecularFunction
901,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0008061,chitin binding,molecularFunction
900,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0000253,3-keto sterol reductase activity,molecularFunction
899,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0019238,cyclohydrolase activity,molecularFunction
898,0,0.0,1.0,0.12196034418256602,6,1.000000000003346,-,GO:0004620,phospholipase activity,molecularFunction
897,0,0.0,1.0,0.5284948247911211,26,1.000000000003325,-,GO:0016854,racemase and epimerase activity,molecularFunction
896,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0004640,phosphoribosylanthranilate isomerase activity,molecularFunction
895,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0004642,phosphoribosylformylglycinamidine synthase activity,molecularFunction
894,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0016901,"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor",molecularFunction
893,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0004310,farnesyl-diphosphate farnesyltransferase activity,molecularFunction
892,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0070273,phosphatidylinositol-4-phosphate binding,molecularFunction
891,0,0.0,1.0,0.06098017209128301,3,1.000000000002994,-,GO:0035091,phosphatidylinositol binding,molecularFunction
960,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004605,phosphatidate cytidylyltransferase activity,molecularFunction
961,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004604,phosphoadenylyl-sulfate reductase (thioredoxin) activity,molecularFunction
962,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004602,glutathione peroxidase activity,molecularFunction
963,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003879,ATP phosphoribosyltransferase activity,molecularFunction
1032,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008312,7S RNA binding,molecularFunction
1031,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008675,2-dehydro-3-deoxy-phosphogluconate aldolase activity,molecularFunction
1030,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008677,2-dehydropantoate 2-reductase activity,molecularFunction
1029,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008679,2-hydroxy-3-oxopropionate reductase activity,molecularFunction
1028,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0031267,small GTPase binding,molecularFunction
1027,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0018741,alkyl sulfatase activity,molecularFunction
1026,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0032356,oxidized DNA binding,molecularFunction
1025,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0032357,oxidized purine DNA binding,molecularFunction
1024,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015129,lactate transmembrane transporter activity,molecularFunction
1033,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008311,double-stranded DNA 3'-5' exodeoxyribonuclease activity,molecularFunction
1023,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0103045,methione N-acyltransferase activity,molecularFunction
1021,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008684,2-oxopent-4-enoate hydratase activity,molecularFunction
1020,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008685,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",molecularFunction
1019,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0050313,sulfur dioxygenase activity,molecularFunction
1018,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008686,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",molecularFunction
1253,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008864,formyltetrahydrofolate deformylase activity,molecularFunction
1016,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015137,citrate transmembrane transporter activity,molecularFunction
1015,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052855,ADP-dependent NAD(P)H-hydrate dehydratase activity,molecularFunction
1014,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052856,NADHX epimerase activity,molecularFunction
1013,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052857,NADPHX epimerase activity,molecularFunction
1022,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016212,kynurenine-oxoglutarate transaminase activity,molecularFunction
1034,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0103039,protein methylthiotransferase activity,molecularFunction
1035,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008670,"2,4-dienoyl-CoA reductase (NADPH) activity",molecularFunction
1036,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015114,phosphate ion transmembrane transporter activity,molecularFunction
1057,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016889,"endodeoxyribonuclease activity, producing 3'-phosphomonoesters",molecularFunction
1056,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0048027,mRNA 5'-UTR binding,molecularFunction
1055,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016892,"endoribonuclease activity, producing 3'-phosphomonoesters",molecularFunction
1054,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,molecularFunction
1053,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043837,valine dehydrogenase (NAD) activity,molecularFunction
1052,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008659,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity,molecularFunction
1051,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015462,ATPase-coupled protein transmembrane transporter activity,molecularFunction
1050,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015108,chloride transmembrane transporter activity,molecularFunction
1049,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033785,heptose 7-phosphate kinase activity,molecularFunction
1048,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008662,1-phosphofructokinase activity,molecularFunction
1047,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033786,heptose-1-phosphate adenylyltransferase activity,molecularFunction
1046,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008663,"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity",molecularFunction
1045,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008664,2'-5'-RNA ligase activity,molecularFunction
1044,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008666,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity",molecularFunction
1043,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005047,signal recognition particle binding,molecularFunction
1042,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005048,signal sequence binding,molecularFunction
1041,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008308,voltage-gated anion channel activity,molecularFunction
1040,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008309,double-stranded DNA exodeoxyribonuclease activity,molecularFunction
1039,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051745,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,molecularFunction
1038,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015112,nitrate transmembrane transporter activity,molecularFunction
1037,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015113,nitrite transmembrane transporter activity,molecularFunction
1012,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008693,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,molecularFunction
1059,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008990,rRNA (guanine-N2-)-methyltransferase activity,molecularFunction
1011,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008694,3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity,molecularFunction
1009,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0070818,protoporphyrinogen oxidase activity,molecularFunction
983,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0044318,L-aspartate:fumarate oxidoreductase activity,molecularFunction
982,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008047,enzyme activator activity,molecularFunction
981,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003848,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,molecularFunction
980,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0034257,nicotinamide riboside transmembrane transporter activity,molecularFunction
979,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0018114,threonine racemase activity,molecularFunction
978,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0018478,malonate-semialdehyde dehydrogenase (acetylating) activity,molecularFunction
977,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052577,germacrene-D synthase activity,molecularFunction
976,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019206,nucleoside kinase activity,molecularFunction
975,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003855,3-dehydroquinate dehydratase activity,molecularFunction
984,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0000224,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,molecularFunction
974,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019207,kinase regulator activity,molecularFunction
972,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003858,3-hydroxybutyrate dehydrogenase activity,molecularFunction
971,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051499,D-aminoacyl-tRNA deacylase activity,molecularFunction
970,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052588,diacetyl reductase ((S)-acetoin forming) activity,molecularFunction
969,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019210,kinase inhibitor activity,molecularFunction
968,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003862,3-isopropylmalate dehydrogenase activity,molecularFunction
967,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003864,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,molecularFunction
966,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0070548,L-glutamine aminotransferase activity,molecularFunction
965,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0000250,lanosterol synthase activity,molecularFunction
964,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0036456,L-methionine-(S)-S-oxide reductase activity,molecularFunction
973,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003856,3-dehydroquinate synthase activity,molecularFunction
985,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0106026,Gly-tRNA(Ala) hydrolase activity,molecularFunction
986,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043225,ATPase-coupled inorganic anion transmembrane transporter activity,molecularFunction
987,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0017016,Ras GTPase binding,molecularFunction
1008,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043880,crotonyl-CoA reductase activity,molecularFunction
1007,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015140,malate transmembrane transporter activity,molecularFunction
1006,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015142,tricarboxylic acid transmembrane transporter activity,molecularFunction
1005,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016594,glycine binding,molecularFunction
1004,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0103068,leukotriene C4 gamma-glutamyl transferase activity,molecularFunction
1003,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:1905538,polysome binding,molecularFunction
1002,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016251,RNA polymerase II general transcription initiation factor activity,molecularFunction
1001,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015174,basic amino acid transmembrane transporter activity,molecularFunction
1000,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052890,"oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor",molecularFunction
999,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019887,protein kinase regulator activity,molecularFunction
998,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0045735,nutrient reservoir activity,molecularFunction
997,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015181,arginine transmembrane transporter activity,molecularFunction
996,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0046820,4-amino-4-deoxychorismate synthase activity,molecularFunction
995,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016273,arginine N-methyltransferase activity,molecularFunction
994,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016274,protein-arginine N-methyltransferase activity,molecularFunction
993,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0140103,"catalytic activity, acting on a glycoprotein",molecularFunction
992,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047919,GDP-mannose 6-dehydrogenase activity,molecularFunction
991,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015195,L-threonine transmembrane transporter activity,molecularFunction
990,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0000215,tRNA 2'-phosphotransferase activity,molecularFunction
989,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0042132,"fructose 1,6-bisphosphate 1-phosphatase activity",molecularFunction
988,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003839,gamma-glutamylcyclotransferase activity,molecularFunction
1010,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008696,4-amino-4-deoxychorismate lyase activity,molecularFunction
1254,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033980,phosphonopyruvate decarboxylase activity,molecularFunction
1297,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008818,cobalamin 5'-phosphate synthase activity,molecularFunction
1256,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004151,dihydroorotase activity,molecularFunction
1521,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015514,nitrite efflux transmembrane transporter activity,molecularFunction
1520,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004364,glutathione transferase activity,molecularFunction
1519,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030570,pectate lyase activity,molecularFunction
1518,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008710,8-amino-7-oxononanoate synthase activity,molecularFunction
1517,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047372,acylglycerol lipase activity,molecularFunction
1516,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004375,glycine dehydrogenase (decarboxylating) activity,molecularFunction
1515,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043908,Ser(Gly)-tRNA(Ala) hydrolase activity,molecularFunction
1514,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004013,adenosylhomocysteinase activity,molecularFunction
1513,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004017,adenylate kinase activity,molecularFunction
1522,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004361,glutaryl-CoA dehydrogenase activity,molecularFunction
1512,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004019,adenylosuccinate synthase activity,molecularFunction
1510,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity",molecularFunction
1509,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008726,alkanesulfonate monooxygenase activity,molecularFunction
1508,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008728,GTP diphosphokinase activity,molecularFunction
1507,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047388,[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase,molecularFunction
1506,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0048472,threonine-phosphate decarboxylase activity,molecularFunction
1505,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004020,adenylylsulfate kinase activity,molecularFunction
1504,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004385,guanylate kinase activity,molecularFunction
1503,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008732,L-allo-threonine aldolase activity,molecularFunction
1502,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030597,RNA glycosylase activity,molecularFunction
1511,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008721,D-serine ammonia-lyase activity,molecularFunction
1501,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030598,rRNA N-glycosylase activity,molecularFunction
1523,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,molecularFunction
1525,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008701,4-hydroxy-2-oxovalerate aldolase activity,molecularFunction
1545,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0045156,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",molecularFunction
1544,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004321,fatty-acyl-CoA synthase activity,molecularFunction
1543,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004322,ferroxidase activity,molecularFunction
1542,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016920,pyroglutamyl-peptidase activity,molecularFunction
1541,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005412,glucose:sodium symporter activity,molecularFunction
1540,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005416,amino acid:cation symporter activity,molecularFunction
1539,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004332,fructose-bisphosphate aldolase activity,molecularFunction
1538,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004334,fumarylacetoacetase activity,molecularFunction
1537,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004335,galactokinase activity,molecularFunction
1524,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008704,5-carboxymethyl-2-hydroxymuconate delta-isomerase activity,molecularFunction
1536,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004341,gluconolactonase activity,molecularFunction
1534,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004349,glutamate 5-kinase activity,molecularFunction
1533,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033816,diaminobutyrate acetyltransferase activity,molecularFunction
1532,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033819,lipoyl(octanoyl) transferase activity,molecularFunction
1531,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0097163,sulfur carrier activity,molecularFunction
1530,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004350,glutamate-5-semialdehyde dehydrogenase activity,molecularFunction
1529,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004351,glutamate decarboxylase activity,molecularFunction
1528,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004352,glutamate dehydrogenase (NAD+) activity,molecularFunction
1527,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004354,glutamate dehydrogenase (NADP+) activity,molecularFunction
1526,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004358,glutamate N-acetyltransferase activity,molecularFunction
1535,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004342,glucosamine-6-phosphate deaminase activity,molecularFunction
1500,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030599,pectinesterase activity,molecularFunction
1499,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0042834,peptidoglycan binding,molecularFunction
1498,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004392,heme oxygenase (decyclizing) activity,molecularFunction
1472,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008763,UDP-N-acetylmuramate-L-alanine ligase activity,molecularFunction
1471,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008764,UDP-N-acetylmuramoylalanine-D-glutamate ligase activity,molecularFunction
1470,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008765,"UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity",molecularFunction
1469,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008768,UDP-sugar diphosphatase activity,molecularFunction
1468,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102040,fumarate reductase (menaquinone),molecularFunction
1467,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015210,uracil transmembrane transporter activity,molecularFunction
1466,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004061,arylformamidase activity,molecularFunction
1465,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004065,arylsulfatase activity,molecularFunction
1464,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004068,aspartate 1-decarboxylase activity,molecularFunction
1473,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,molecularFunction
1463,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030272,5-formyltetrahydrofolate cyclo-ligase activity,molecularFunction
1461,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008773,[protein-PII] uridylyltransferase activity,molecularFunction
1460,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008774,acetaldehyde dehydrogenase (acetylating) activity,molecularFunction
1459,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008776,acetate kinase activity,molecularFunction
1458,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0032451,demethylase activity,molecularFunction
1457,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004070,aspartate carbamoyltransferase activity,molecularFunction
1456,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015225,biotin transmembrane transporter activity,molecularFunction
1455,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004076,biotin synthase activity,molecularFunction
1454,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004077,biotin-[acetyl-CoA-carboxylase] ligase activity,molecularFunction
1453,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008781,N-acylneuraminate cytidylyltransferase activity,molecularFunction
1462,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016663,"oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor",molecularFunction
1474,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015209,cytosine transmembrane transporter activity,molecularFunction
1475,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004056,argininosuccinate lyase activity,molecularFunction
1476,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004055,argininosuccinate synthase activity,molecularFunction
1497,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016990,arginine deiminase activity,molecularFunction
1496,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004397,histidine ammonia-lyase activity,molecularFunction
1495,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004037,allantoicase activity,molecularFunction
1494,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004399,histidinol dehydrogenase activity,molecularFunction
1493,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016992,lipoate synthase activity,molecularFunction
1492,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004038,allantoinase activity,molecularFunction
1491,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052906,tRNA (guanine(37)-N(1))-methyltransferase activity,molecularFunction
1490,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016993,precorrin-8X methylmutase activity,molecularFunction
1489,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016994,precorrin-6A reductase activity,molecularFunction
1488,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052908,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity,molecularFunction
1487,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033862,UMP kinase activity,molecularFunction
1486,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008740,L-rhamnose isomerase activity,molecularFunction
1485,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102027,S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity,molecularFunction
1484,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004042,acetyl-CoA:L-glutamate N-acetyltransferase activity,molecularFunction
1483,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004044,amidophosphoribosyltransferase activity,molecularFunction
1482,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004047,aminomethyltransferase activity,molecularFunction
1481,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052916,23S rRNA (guanine(1835)-N(2))-methyltransferase activity,molecularFunction
1480,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016642,"oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor",molecularFunction
1479,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008750,NAD(P)+ transhydrogenase (AB-specific) activity,molecularFunction
1478,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015203,polyamine transmembrane transporter activity,molecularFunction
1477,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015565,threonine efflux transmembrane transporter activity,molecularFunction
